plot,year,corner,scale,spcode
208,1998,3,10,dalepurp
208,1998,1,10,desmlept
208,1998,2,1,desmlept
208,1998,3,1,desmlept
208,1998,4,10,desmlept
208,1998,1,10,dicholig
208,1998,2,0.1,dicholig
208,1998,3,1,dicholig
208,1998,4,1,dicholig
208,1998,2,1,dracampl
208,1998,1,10,elymcana
208,1998,2,0.1,elymcana
208,1998,3,10,elymcana
208,1998,4,1,elymcana
208,1998,1,1,elymvirg
208,1998,3,1,elymvirg
208,1998,4,10,elymvirg
208,1998,1,1,eragspec
208,1998,3,10,erigstri
208,1998,4,10,erigstri
208,1998,2,1,euphspat
208,1998,3,0.1,fragvirg
208,1998,1,10,juncinte
208,1998,2,1,juncinte
208,1998,1,1,kummstip
208,1998,NA,100,lespcune
208,1998,3,1,lespproc
208,1998,1,1,melioffi
208,1998,2,10,melioffi
208,1998,3,10,melioffi
208,1998,4,10,melioffi
208,1998,2,10,monacitr
208,1998,3,10,monacitr
208,1998,4,1,monacitr
208,1998,1,0.1,oenospec
208,1998,3,0.1,oenospec
208,1998,4,10,oenospec
208,1998,1,0.1,oxaldill
208,1998,2,0.01,oxaldill
208,1998,3,1,oxaldill
208,1998,4,0.01,oxaldill
208,1998,1,10,oxalviol
208,1998,1,0.1,panivirg
208,1998,2,0.1,panivirg
208,1998,3,0.1,panivirg
208,1998,4,0.1,panivirg
208,1998,1,1,phalcaro
208,1998,2,10,phalcaro
208,1998,3,10,phalcaro
208,1998,4,10,phalcaro
208,1998,2,10,physpumi
208,1998,3,10,physpumi
208,1998,2,10,planvirg
208,1998,1,10,poaprate
208,1998,2,1,poaprate
208,1998,3,10,poaprate
208,1998,4,1,poaprate
208,1998,3,10,polynutt
208,1998,2,10,psortenu
208,1998,3,1,psortenu
208,1998,4,10,psortenu
208,1998,2,10,pyrrcaro
208,1998,2,10,raticolu
208,1998,2,1,rudbhirt
208,1998,4,10,rudbhirt
208,1998,1,10,rumecris
208,1998,2,10,rumecris
208,1998,4,1,salvazur
208,1998,2,1,schiscop
208,1998,2,10,setaparv
208,1998,3,0.1,setaparv
208,1998,3,0.1,sileanti
208,1998,3,1,solacaro
208,1998,1,10,solicana
208,1998,1,1,sorgnuta
208,1998,2,1,sorgnuta
208,1998,3,0.01,sorgnuta
208,1998,2,10,spheobtu
208,1998,3,1,spheobtu
208,1998,1,0.01,sporcomp
208,1998,2,0.01,sporcomp
208,1998,3,0.1,sporcomp
208,1998,4,0.01,sporcomp
208,1998,4,0.01,stroleio
208,1998,NA,100,symporbi
208,1998,1,10,trioperf
208,1998,2,10,trioperf
208,1998,3,10,trioperf
208,1998,1,0.1,vernbald
208,1998,2,10,vernbald
208,1998,3,10,vernbald
208,1998,1,0.1,xantstru
208,1998,2,10,xantstru
208,1998,3,10,xantstru
220,1998,1,1,acalvirg
220,1998,2,0.1,acalvirg
220,1998,4,10,acalvirg
220,1998,NA,100,achimill
220,1998,4,0.01,ambrarte
220,1998,1,10,ambrpsil
220,1998,2,0.1,ambrpsil
220,1998,4,0.1,ambrpsil
220,1998,3,10,amorcane
220,1998,1,0.01,andrgera
220,1998,2,0.01,andrgera
220,1998,3,0.01,andrgera
220,1998,4,1,andrgera
220,1998,1,10,asclviri
220,1998,3,10,asclviri
220,1998,1,10,asteeric
220,1998,2,10,asteeric
220,1998,4,1,asteeric
220,1998,3,1,baptalba
220,1998,2,10,baptbrac
220,1998,2,1,bothsacc
220,1998,1,10,bromjapo
220,1998,3,10,bromjapo
220,1998,4,1,bromjapo
220,1998,NA,100,carebush
220,1998,1,0.01,carefest
220,1998,2,0.1,carefest
220,1998,3,0.1,carefest
220,1998,3,1,caregrav
220,1998,1,10,caremicr
220,1998,2,10,caremicr
220,1998,3,10,caremicr
220,1998,4,0.01,caremicr
220,1998,2,1,cirsalti
220,1998,3,10,cirsalti
220,1998,NA,100,cypeechi
220,1998,1,10,cypeseti
220,1998,3,1,dichacum
220,1998,1,1,dicholig
220,1998,2,0.1,dicholig
220,1998,3,1,dicholig
220,1998,4,0.1,dicholig
220,1998,1,10,eleomont
220,1998,2,1,eleomont
220,1998,4,1,eleomont
220,1998,1,10,elymcana
220,1998,3,10,elymcana
220,1998,4,10,elymcana
220,1998,1,0.01,elymvirg
220,1998,2,0.1,elymvirg
220,1998,3,1,elymvirg
220,1998,4,0.1,elymvirg
220,1998,4,1,erigstri
220,1998,2,10,eupaalti
220,1998,4,0.1,fragvirg
220,1998,4,10,unkngaur
220,1998,1,10,juncinte
220,1998,3,1,juncinte
220,1998,4,10,juncinte
220,1998,NA,100,lespcune
220,1998,2,10,melioffi
220,1998,3,10,melioffi
220,1998,4,0.1,melioffi
220,1998,NA,100,monafist
220,1998,4,10,oenospec
220,1998,2,10,oxaldill
220,1998,3,10,oxaldill
220,1998,3,10,oxalviol
220,1998,1,10,panivirg
220,1998,2,0.1,panivirg
220,1998,4,0.1,panivirg
220,1998,1,10,physpumi
220,1998,2,1,physpumi
220,1998,1,10,poaprate
220,1998,2,10,poaprate
220,1998,3,0.1,poaprate
220,1998,4,0.01,poaprate
220,1998,2,0.1,psortenu
220,1998,3,10,psortenu
220,1998,1,1,ruelhumi
220,1998,2,1,ruelhumi
220,1998,3,0.1,ruelhumi
220,1998,4,0.01,ruelhumi
220,1998,2,10,rumecris
220,1998,3,10,rumecris
220,1998,1,0.1,schiscop
220,1998,2,0.01,schiscop
220,1998,4,1,schiscop
220,1998,1,10,setaparv
220,1998,2,0.1,setaparv
220,1998,4,10,setaparv
220,1998,4,10,sisycamp
220,1998,1,1,solacaro
220,1998,4,1,solacaro
220,1998,2,0.01,sorgnuta
220,1998,3,10,sorgnuta
220,1998,4,10,sorgnuta
220,1998,1,10,spheobtu
220,1998,3,10,spheobtu
220,1998,1,1,sporcomp
220,1998,2,1,sporcomp
220,1998,3,1,sporcomp
220,1998,4,0.1,sporcomp
220,1998,1,10,tradohie
220,1998,2,10,tradohie
220,1998,3,10,tradohie
220,1998,4,10,tridflav
220,1998,3,10,vernarka
220,1998,1,1,vernbald
220,1998,2,1,vernbald
220,1998,3,0.1,vernbald
220,1998,4,1,vernbald
222,1998,1,0.01,acalvirg
222,1998,2,10,acalvirg
222,1998,3,0.1,acalvirg
222,1998,4,0.1,acalvirg
222,1998,1,1,achimill
222,1998,2,10,achimill
222,1998,4,10,achimill
222,1998,2,10,agrohyem
222,1998,3,10,agrohyem
222,1998,4,10,agrohyem
222,1998,1,10,ambrbide
222,1998,2,1,ambrbide
222,1998,4,1,ambrbide
222,1998,1,0.01,ambrpsil
222,1998,2,10,ambrpsil
222,1998,3,10,ambrpsil
222,1998,4,1,ambrpsil
222,1998,2,10,amorcane
222,1998,3,10,amorcane
222,1998,1,0.1,andrgera
222,1998,2,0.1,andrgera
222,1998,3,1,andrgera
222,1998,4,0.01,andrgera
222,1998,1,1,arteludo
222,1998,2,1,arteludo
222,1998,4,10,arteludo
222,1998,1,0.1,asclviri
222,1998,2,1,asclviri
222,1998,3,10,asclviri
222,1998,4,10,asclviri
222,1998,1,1,asteeric
222,1998,3,10,asteeric
222,1998,1,0.01,bothsacc
222,1998,2,0.01,bothsacc
222,1998,4,10,briceupa
222,1998,4,10,callalca
222,1998,2,10,carebush
222,1998,3,10,carebush
222,1998,4,10,carebush
222,1998,4,10,careceph
222,1998,1,0.01,carefest
222,1998,2,0.1,carefest
222,1998,3,10,carefest
222,1998,4,0.1,carefest
222,1998,1,10,caregrav
222,1998,2,1,caregrav
222,1998,4,10,caregrav
222,1998,1,0.1,caremicr
222,1998,2,1,caremicr
222,1998,3,10,caremicr
222,1998,4,0.1,caremicr
222,1998,1,10,cirsalti
222,1998,3,10,cirsalti
222,1998,4,10,cirsalti
222,1998,3,10,cirsundu
222,1998,4,10,cirsundu
222,1998,2,10,cypeechi
222,1998,2,10,cypelupu
222,1998,3,10,cypelupu
222,1998,NA,100,cypepseu
222,1998,2,10,dalepurp
222,1998,1,0.1,desmilli
222,1998,2,0.01,desmilli
222,1998,3,10,desmilli
222,1998,1,10,desmsess
222,1998,2,10,desmsess
222,1998,3,10,desmsess
222,1998,4,0.1,desmsess
222,1998,1,0.01,dicholig
222,1998,2,0.01,dicholig
222,1998,3,0.01,dicholig
222,1998,4,1,dicholig
222,1998,NA,100,eleomont
222,1998,1,10,elymcana
222,1998,1,10,elymvirg
222,1998,2,0.01,elymvirg
222,1998,3,1,elymvirg
222,1998,4,0.01,elymvirg
222,1998,2,1,eragspec
222,1998,3,0.1,eragspec
222,1998,4,0.1,eragspec
222,1998,NA,100,erigstri
222,1998,2,10,fimbpube
222,1998,3,10,fimbpube
222,1998,1,10,juncinte
222,1998,2,10,juncinte
222,1998,3,10,juncinte
222,1998,4,10,juncinte
222,1998,3,10,koelmacr
222,1998,NA,100,lespcapi
222,1998,NA,100,lespproc
222,1998,1,1,lespvirg
222,1998,2,10,lespvirg
222,1998,3,10,lespvirg
222,1998,4,1,lespvirg
222,1998,1,0.1,lithinci
222,1998,2,10,lithinci
222,1998,3,10,lithinci
222,1998,3,10,melioffi
222,1998,1,1,oxaldill
222,1998,2,0.01,oxaldill
222,1998,4,10,oxaldill
222,1998,4,0.1,oxalviol
222,1998,1,10,panivirg
222,1998,2,1,panivirg
222,1998,3,10,panivirg
222,1998,4,0.01,panivirg
222,1998,3,0.1,paspseta
222,1998,4,10,periamer
222,1998,1,10,physvirg
222,1998,2,10,physvirg
222,1998,3,0.01,physvirg
222,1998,3,0.1,poaprate
222,1998,NA,100,polyconv
222,1998,1,1,psortenu
222,1998,2,1,psortenu
222,1998,3,1,psortenu
222,1998,4,0.1,psortenu
222,1998,4,10,raticolu
222,1998,1,10,ruelhumi
222,1998,2,1,ruelhumi
222,1998,3,10,ruelhumi
222,1998,4,10,ruelhumi
222,1998,1,10,rumecris
222,1998,2,1,salvazur
222,1998,1,0.01,schiscop
222,1998,2,0.01,schiscop
222,1998,3,0.01,schiscop
222,1998,4,0.1,schiscop
222,1998,1,10,setaparv
222,1998,2,0.01,setaparv
222,1998,3,10,setaparv
222,1998,4,1,setaparv
222,1998,3,10,sisycamp
222,1998,4,10,solacaro
222,1998,1,10,solicana
222,1998,2,10,solicana
222,1998,3,1,solicana
222,1998,4,1,solicana
222,1998,1,0.01,sorgnuta
222,1998,2,0.1,sorgnuta
222,1998,3,0.01,sorgnuta
222,1998,4,0.1,sorgnuta
222,1998,1,10,spheobtu
222,1998,3,1,spheobtu
222,1998,4,1,spheobtu
222,1998,1,1,sporcomp
222,1998,2,1,sporcomp
222,1998,3,1,sporcomp
222,1998,4,1,sporcomp
222,1998,1,10,symporbi
222,1998,2,10,symporbi
222,1998,NA,100,toriarve
222,1998,4,1,tridflav
222,1998,NA,100,unlgr222
222,1998,1,1,valeradi
222,1998,2,10,valeradi
222,1998,4,10,valeradi
222,1998,3,10,vernarka
222,1998,1,1,vernbald
222,1998,2,1,vernbald
222,1998,3,1,vernbald
222,1998,4,1,vernbald
222,1998,4,10,xantstru
226,1998,1,0.01,acalvirg
226,1998,2,10,acalvirg
226,1998,3,0.1,acalvirg
226,1998,4,10,achimill
226,1998,3,1,agrohyem
226,1998,4,10,agrohyem
226,1998,3,10,ambrpsil
226,1998,1,10,amorcane
226,1998,3,10,amorcane
226,1998,1,0.01,andrgera
